idx	file	lang	prob	ja	en
000	hisokanen_000_t00m00_6s.mp3	ja	1.00	そんな目で見つめるなよ 興奮しちゃうじゃないか	Don't look at me with that kind of eyes. I'm going to get excited.
001	hisokanen_001_t00m05_4s.mp3	ja	1.00	僕が特別に判定してあげるよ	I'll make a special decision for you.
002	hisokanen_002_t00m09_1s.mp3	ja	1.00	獲物は強ければ強いほどいい	If the prey is strong, it's as strong as it is.
003	hisokanen_003_t00m13_1s.mp3	ja	1.00	僕を失望させるなよ	Don't disappoint me.
004	hisokanen_004_t00m15_6s.mp3	ja	1.00	ガン	gun.
005	hisokanen_005_t00m17_1s.mp3	ja	1.00	イルミには悪いけど	It's bad for Irumi, but...
006	hisokanen_006_t00m18_7s.mp3	ja	1.00	あじみしちゃお?	Let's go to the bathroom.
007	hisokanen_007_t00m21_6s.mp3	ja	1.00	交渉しないか?	Don't you regret it?
008	hisokanen_008_t00m22_9s.mp3	ja	1.00	イヨネライよ	This is January 2nd.
009	hisokanen_009_t00m24_3s.mp3	ja	1.00	殺すから	I'll kill you.
010	hisokanen_010_t00m27_1s.mp3	ja	1.00	試験韓国に付き合ってくれるのか	Will you come with me to the test center?
011	hisokanen_011_t00m31_5s.mp3	ja	1.00	たいにあなたは僕がやる	I'll take care of you.
012	hisokanen_012_t00m34_6s.mp3	ja	1.00	わざと怪我したら直してくれるかい?	If you get hurt, will you heal me?
013	hisokanen_013_t00m38_4s.mp3	ja	1.00	君からはいろいろと感じるものがあるね	There are a lot of things you can feel from me.
014	hisokanen_014_t00m42_5s.mp3	ja	1.00	せっかくやるなら完璧に勝つ	If you want to do it, you have to win perfectly.
015	hisokanen_015_t00m46_3s.mp3	ja	1.00	試験の時からあなたとは戦ってみたかったんだ	I wanted to fight you from the time of the test.
016	hisokanen_016_t00m51_1s.mp3	ja	1.00	んー	mmm
017	hisokanen_017_t00m52_5s.mp3	ja	1.00	キミラ	Kimira.
018	hisokanen_018_t00m53_4s.mp3	ja	1.00	全員不合格だね	It's all unfair.
019	hisokanen_019_t00m56_5s.mp3	ja	1.00	無駄な努力	Useless effort
020	hisokanen_020_t00m58_1s.mp3	ja	1.00	ご苦労様	Thank you for your hard work.
021	hisokanen_021_t01m00_5s.mp3	ja	1.00	メイドの見上げに覚えておきな	Remember to look up at the maid.
022	hisokanen_022_t01m03_1s.mp3	ja	1.00	技術師に不可能はないの	It's impossible for a technician to do that.
023	hisokanen_023_t01m06_6s.mp3	ja	1.00	ゴン	Gong
024	hisokanen_024_t01m07_4s.mp3	ja	1.00	ううう…ゴム…	Uggh, go on.
025	hisokanen_025_t01m10_3s.mp3	ja	1.00	どうして僕を そんなに興奮させるんだい	Why do you make me so excited?
026	hisokanen_026_t01m15_8s.mp3	ja	1.00	これ以上はやめておこう	Let's not do this anymore.
027	hisokanen_027_t01m18_5s.mp3	ja	1.00	本当に怒られちゃうからね	You're really going to get mad at me, aren't you?
028	hisokanen_028_t01m21_9s.mp3	ja	1.00	彼は僕の獲物だ	He is my prey.
029	hisokanen_029_t01m24_6s.mp3	ja	1.00	君はおとなしくしててね	You're being quiet, aren't you?
030	hisokanen_030_t01m27_8s.mp3	ja	1.00	たまには君みたいのもいいよね	Sometimes it's good to be like you.
031	hisokanen_031_t01m30_5s.mp3	ja	1.00	ジャンキーで	Junkie
032	hisokanen_032_t01m33_5s.mp3	ja	1.00	やっぱりあなたは最高の兵物だ	As expected, you are the best soldier!
033	hisokanen_033_t01m38_4s.mp3	ja	1.00	ところで	By the way...
034	hisokanen_034_t01m39_3s.mp3	ja	1.00	この後食事なんて	I'm going to eat after this.
035	hisokanen_035_t01m42_6s.mp3	ja	1.00	つれない	I can't get through
036	hisokanen_036_t01m43_4s.mp3	ja	1.00	ん?	Hmm.
037	hisokanen_037_t01m44_9s.mp3	ja	1.00	嘘は良くないな	It's not a good thing to lie.
038	hisokanen_038_t01m47_2s.mp3	ja	1.00	僕の言えたことじゃないけど	It's not what I said, but...
039	hisokanen_039_t01m50_6s.mp3	ja	1.00	んー	mmm
040	hisokanen_040_t01m51_6s.mp3	ja	1.00	ダメダメ	No, no.
041	hisokanen_041_t01m53_6s.mp3	ja	1.00	ボールはしっ	The ball is shi-
042	hisokanen_042_t01m54_8s.mp3	ja	1.00	こりつかまなきゃね	I have to catch this one, right?
043	hisokanen_043_t01m57_4s.mp3	ja	1.00	好きだらけで毒系抜かれちゃ	If you just like it, you'll be taken away by the poison.
044	hisokanen_044_t02m00_2s.mp3	ja	1.00	だよ	dial.
045	hisokanen_045_t02m03_4s.mp3	ja	1.00	HOOD?	Good.
046	hisokanen_046_t02m07_5s.mp3	ja	1.00	それ?	That's it?
047	hisokanen_047_t02m12_0s.mp3	ja	1.00	楽しもう	I'm looking forward to it.
048	hisokanen_048_t02m13_5s.mp3	ja	1.00	足元	Ashimoto
049	hisokanen_049_t02m15_2s.mp3	ja	1.00	ここだね	Here it is.
050	hisokanen_050_t02m18_1s.mp3	ja	1.00	ダメダメ	No, no!
051	hisokanen_051_t02m19_9s.mp3	ja	1.00	たまらない	I can't take it anymore.
052	hisokanen_052_t02m21_6s.mp3	ja	1.00	ソード!	Soad?
053	hisokanen_053_t02m23_1s.mp3	ja	1.00	怖そうか	Kowa-suka!
054	hisokanen_054_t02m24_8s.mp3	ja	1.00	そそるねえ	That's right.
055	hisokanen_055_t02m28_4s.mp3	ja	1.00	いい子だね	You're a good boy.
056	hisokanen_056_t02m32_1s.mp3	ja	1.00	うわぁ	UGH!
057	hisokanen_057_t02m33_7s.mp3	ja	1.00	ヴァンジーカン	BUNCHEAKIN'
058	hisokanen_058_t02m35_6s.mp3	ja	1.00	バンジーガム	Bungee Gum
059	hisokanen_059_t02m37_4s.mp3	ja	1.00	バンジーガム	Bungie Gum
060	hisokanen_060_t02m39_3s.mp3	ja	1.00	バンジーガム	Bungee Gum
061	hisokanen_061_t02m41_2s.mp3	ja	1.00	バンジーガム	Bungie Gum!
062	hisokanen_062_t02m43_0s.mp3	ja	1.00	バンジーカム	Bungee Gum
063	hisokanen_063_t02m45_0s.mp3	ja	1.00	待ちない	I won't wait.
064	hisokanen_064_t02m46_6s.mp3	ja	1.00	逃さない	I won't let you escape.
065	hisokanen_065_t02m48_2s.mp3	ja	1.00	逃がすね	I can't run away from it.
066	hisokanen_066_t02m50_1s.mp3	ja	1.00	あ、げるよ	I'll get you.
067	hisokanen_067_t02m51_7s.mp3	ja	1.00	そう?	Is that so?
068	hisokanen_068_t02m53_3s.mp3	ja	1.00	愛を込めて	Please accept my love.
069	hisokanen_069_t02m55_1s.mp3	ja	1.00	ご招待	I'll take care of it!
070	hisokanen_070_t02m56_9s.mp3	ja	1.00	君に贈る	I'll send it to you.
071	hisokanen_071_t02m58_8s.mp3	ja	1.00	ガムトコム	Let's go!
072	hisokanen_072_t03m00_7s.mp3	ja	1.00	シニガミクイズ	Shinigami Quiz
073	hisokanen_073_t03m02_7s.mp3	ja	1.00	回答者はいらない	I don't need a robber.
074	hisokanen_074_t03m05_1s.mp3	ja	1.00	何枚でしょう	How many?
075	hisokanen_075_t03m07_2s.mp3	ja	1.00	答えはおしまい	The answer is Oshinmai.
076	hisokanen_076_t03m09_8s.mp3	ja	1.00	誰も仕掛けもございません	There is no other way.
077	hisokanen_077_t03m14_2s.mp3	ja	1.00	よっちしよう	I'll take care of it.
078	hisokanen_078_t03m15_3s.mp3	ja	1.00	君は踊りくる	You will dance
079	hisokanen_079_t03m16_5s.mp3	ja	1.00	で死ぬ	and die.
080	hisokanen_080_t03m18_3s.mp3	ja	1.00	ほーらね	See?
081	hisokanen_081_t03m21_7s.mp3	ja	1.00	すごくいい!	It's amazing!
082	hisokanen_082_t03m25_1s.mp3	ja	1.00	残念	Too bad
083	hisokanen_083_t03m26_8s.mp3	ja	1.00	邪魔だよ	I'm in the way.
084	hisokanen_084_t03m28_6s.mp3	ja	1.00	また後でね	See you later.
085	hisokanen_085_t03m30_4s.mp3	ja	1.00	協力しよう	Let's work together.
086	hisokanen_086_t03m32_4s.mp3	ja	1.00	頼むよ	I ask you
087	hisokanen_087_t03m34_0s.mp3	ja	1.00	選手交代	Senshu Koutai
088	hisokanen_088_t03m36_2s.mp3	ja	1.00	僕の番だね	It's my turn.
089	hisokanen_089_t03m38_3s.mp3	ja	1.00	しゅう?	SHOOT!
090	hisokanen_090_t03m40_2s.mp3	ja	1.00	お見せしよう	Let me show you.
091	hisokanen_091_t03m42_1s.mp3	ja	1.00	ん?	Hmm.
092	hisokanen_092_t03m43_5s.mp3	ja	1.00	遠慮するなよ	Don't force it.
093	hisokanen_093_t03m45_4s.mp3	ja	1.00	まだまだ	Not yet, not yet.
094	hisokanen_094_t03m48_7s.mp3	ja	1.00	凄いね	That's amazing!
095	hisokanen_095_t03m50_4s.mp3	ja	1.00	予算以上	That's all for now!
096	hisokanen_096_t03m52_3s.mp3	ja	1.00	合格	Goh-kaku?
097	hisokanen_097_t03m54_1s.mp3	ja	1.00	じゃじゃん	Ta-da!
098	hisokanen_098_t03m56_0s.mp3	ja	1.00	あら不思議	Arafushigi
099	hisokanen_099_t03m58_8s.mp3	ja	1.00	そう	That's right!
100	hisokanen_100_t04m01_5s.mp3	ja	1.00	あ゛っ	No!
101	hisokanen_101_t04m02_8s.mp3	ja	1.00	ああっ	No!
102	hisokanen_102_t04m04_3s.mp3	ja	1.00	あ゛ぁ	Ugh.
